nodeid,markers
tests/journeys/test_arithmetic.py::test_02_product_total[H service + product],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[H svc + prod qty],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[H 2 svc + 2 prod],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[H 5 mixed lines],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[H mixed + line discs],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[H mixed + cart pct],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[H mixed + everything],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[H all products],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[H one paisa line],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[H big and small],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=333.33],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=0.03],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=0.07],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=16.66],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=1.11],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=9.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=49.99],P1|arithmetic|journey|module_billing|parametrize
tests/journeys/test_arithmetic.py::test_02_product_total[I round p=101.01],P1|arithmetic|journey|module_billing|parametrize
